id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam
2417442197.0,17.0,1.0,40.0,1463.0,38.64,66.30000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Head', 'Zone']","[91, 69]",True,108374.0,,,,,,,,,,,,,,,Portimonense,Sporting
2417442391.0,23.0,1.0,53.0,296.0,67.2,0.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Length', 'Zone', 'ThrowIn', 'Longball', 'Angle']","[91, 212, 35, 37, 216]",True,362352.0,43.260000000000005,3.5360000000000005,,,,,,,,,,24.0,Pedro Porro,False,Portimonense,Sporting
,,1.0,53.0,,43.260000000000005,3.5360000000000005,,,Carry,,,,,395992.0,42.105000000000004,11.152,,,,,,,,,,25.0,Gonçalo Inácio,False,Portimonense,Sporting
2417442441.0,24.0,1.0,58.0,296.0,42.105000000000004,11.152,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'Length', 'PassEndX', 'PassEndY', 'Longball', 'StandingSave']","[91, 117, 127, 36, 37, 216, 218]",True,395992.0,47.25,44.948,,,,,,,,,,25.0,Gonçalo Inácio,False,Portimonense,Sporting
,,1.0,58.0,,47.25,44.948,,,Carry,,,,,283978.0,56.7,51.272000000000006,,,,,,,,,,2.0,Matheus Reis,True,Portimonense,Sporting
2417442503.0,25.0,2.0,3.0,296.0,56.7,51.272000000000006,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'Angle', 'PassEndX', 'Zone', 'Length']","[91, 119, 117, 30, 36, 38, 216, 218]",True,283978.0,65.83500000000001,46.92,,,,,,,,,,2.0,Matheus Reis,True,Portimonense,Sporting
,,2.0,3.0,,65.83500000000001,46.92,,,Carry,,,,,394933.0,61.005,46.784,,,,,,,,,,8.0,Matheus Nunes,False,Portimonense,Sporting
2417442649.0,26.0,2.0,8.0,296.0,61.005,46.784,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'PassEndX', 'Zone', 'Angle', 'Chipped', 'Length', 'Longball']","[91, 119, 117, 124, 127, 205, 36, 38, 217, 218]",True,394933.0,92.925,1.1560000000000001,,,,,,,,,,8.0,Matheus Nunes,True,Portimonense,Sporting
,,2.0,8.0,,92.925,1.1560000000000001,,,Carry,,,,,362352.0,99.855,2.5160000000000005,,,,,,,,,,24.0,Pedro Porro,False,Portimonense,Sporting
2417442661.0,27.0,2.0,14.0,296.0,99.855,2.5160000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'PassEndX', 'OppositeRelatedEvent', 'RightFoot', 'Cross', 'PassEndY', 'Zone', 'Offensive', 'StandingSave', 'Angle']","[91, 137, 126, 35, 37, 217, 218]",True,362352.0,99.75,4.760000000000001,,,,,,,,,,24.0,Pedro Porro,False,Portimonense,Sporting
