id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,cardType,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,shirtNo,name,progressive,homeTeam,awayTeam
2374330933.0,23.0,1.0,4.0,296.0,31.185000000000002,32.368,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Zone', 'Angle', 'Length']","[91, 117, 30, 36, 37, 215, 218]",True,71268.0,32.13,47.328,,,,,,,,,,4.0,Sebastián Coates,False,Vizela,Sporting
2374330955.0,24.0,1.0,5.0,296.0,31.919999999999998,48.144,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'Length', 'PassEndY', 'PassEndX']","[91, 117, 30, 36, 37, 216, 218]",True,283978.0,50.295,63.988,,,,,,,,,,2.0,Matheus Reis,False,Vizela,Sporting
2374330967.0,25.0,1.0,9.0,296.0,50.925000000000004,63.784000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'Length', 'PassEndX', 'Zone']","[91, 117, 30, 35, 38, 216, 218]",True,296364.0,50.400000000000006,58.07200000000001,,,,,,,,,,11.0,Nuno Santos,False,Vizela,Sporting
,,1.0,9.0,,50.400000000000006,58.07200000000001,,,Carry,,,,,384888.0,60.480000000000004,52.97200000000001,,,,,,,,,,68.0,Daniel Bragança,True,Vizela,Sporting
2374330977.0,26.0,1.0,11.0,296.0,60.480000000000004,52.97200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Zone', 'Throughball', 'Longball', 'PassEndY', 'Length', 'Angle']","[91, 120, 128, 130, 36, 38, 217, 218]",True,384888.0,90.3,39.78,,,,,,,,,,68.0,Daniel Bragança,True,Vizela,Sporting
2374330991.0,7.0,1.0,17.0,2899.0,10.290000000000001,32.368,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",KeeperPickup,Successful,[],[93],False,361808.0,,,,,,,,,,,,,,,Vizela,Sporting
2374331055.0,8.0,1.0,28.0,2899.0,15.120000000000001,35.836000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'KeeperThrow', 'PassEndX', 'Angle', 'Length']","[91, 36, 37, 215, 218]",True,361808.0,21.525000000000002,49.028,,,,,,,,,,,,False,Vizela,Sporting
2374331089.0,9.0,1.0,31.0,2899.0,28.14,51.204,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsidePass,Successful,"['PassEndY', 'Zone', 'Longball', 'PlayerCaughtOffside', 'PassEndX']","[91, 217]",True,129360.0,74.34,61.744,,,,,,,,,,,,,Vizela,Sporting
2374331087.0,27.0,1.0,31.0,296.0,37.589999999999996,17.544,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideProvoked,Successful,[],[62],False,395992.0,,,,,,,,,,,,25.0,Gonçalo Inácio,,Vizela,Sporting
2374331109.0,28.0,1.0,38.0,296.0,35.910000000000004,5.576,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['IndirectFreekickTaken', 'FreekickTaken', 'PassEndY', 'PassEndX', 'Zone', 'Length', 'Angle']","[91, 117, 30, 132, 35, 37, 215, 218]",True,109474.0,29.925,12.852,,,,,,,,,,47.0,Ricardo Esgaio,False,Vizela,Sporting
,,1.0,38.0,,29.925,12.852,,,Carry,,,,,395992.0,29.925,15.504000000000001,,,,,,,,,,25.0,Gonçalo Inácio,False,Vizela,Sporting
2374331139.0,29.0,1.0,40.0,296.0,29.925,15.504000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'Zone', 'PassEndX', 'Length']","[91, 117, 30, 35, 37, 215, 218]",True,395992.0,27.51,27.676000000000005,,,,,,,,,,25.0,Gonçalo Inácio,False,Vizela,Sporting
,,1.0,40.0,,27.51,27.676000000000005,,,Carry,,,,,71268.0,31.080000000000002,29.852,,,,,,,,,,4.0,Sebastián Coates,False,Vizela,Sporting
2374331153.0,30.0,1.0,45.0,296.0,31.080000000000002,29.852,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'Zone', 'PassEndX', 'PassEndY']","[91, 117, 30, 35, 37, 215, 218]",True,71268.0,28.665000000000003,44.744,,,,,,,,,,4.0,Sebastián Coates,False,Vizela,Sporting
2374331165.0,31.0,1.0,46.0,296.0,28.875,44.676,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'PassEndX', 'PassEndY', 'Zone']","[91, 117, 30, 36, 38, 216, 218]",True,283978.0,37.695,42.432,,,,,,,,,,2.0,Matheus Reis,False,Vizela,Sporting
,,1.0,46.0,,37.695,42.432,,,Carry,,,,,384888.0,35.910000000000004,42.5,,,,,,,,,,68.0,Daniel Bragança,False,Vizela,Sporting
2374331167.0,32.0,1.0,48.0,296.0,35.910000000000004,42.5,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Unsuccessful,"['OppositeRelatedEvent', 'Offensive', 'Zone']","[91, 53]",True,384888.0,,,,,,,,,,,,68.0,Daniel Bragança,,Vizela,Sporting
2374331403.0,14.0,1.0,48.0,2899.0,69.09,25.500000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['Zone', 'Defensive', 'OppositeRelatedEvent']","[91, 143]",True,328509.0,,,,,,,,,,,,,,,Vizela,Sporting
2374331185.0,10.0,1.0,51.0,2899.0,67.41000000000001,16.388,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,426916.0,,,,,,,,,,,,,,,Vizela,Sporting
2374331211.0,11.0,1.0,52.0,2899.0,67.41000000000001,16.388,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Zone', 'Angle', 'Length']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,426916.0,90.72000000000001,4.42,,,,,,,,,,,,False,Vizela,Sporting
2374331215.0,12.0,1.0,53.0,2899.0,91.03500000000001,4.42,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['RightFoot', 'Cross', 'Chipped', 'Zone', 'Angle', 'PassEndY', 'PassEndX', 'Length']","[91, 137, 124, 126, 36, 37, 217, 218]",True,328509.0,91.455,6.256,,,,,,,,,,,,False,Vizela,Sporting
2374331209.0,33.0,1.0,54.0,296.0,8.19,58.888,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,['Zone'],[91],True,283978.0,,,,,,,,,,,,2.0,Matheus Reis,,Vizela,Sporting
2374331231.0,34.0,1.0,55.0,296.0,13.440000000000001,46.71600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'PassEndX', 'Length', 'Zone']","[91, 117, 30, 36, 37, 215, 218]",True,71268.0,21.21,49.776,,,,,,,,,,4.0,Sebastián Coates,False,Vizela,Sporting
2374331235.0,35.0,1.0,56.0,296.0,21.315,48.416000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,384888.0,,,,,,,,,,,,68.0,Daniel Bragança,,Vizela,Sporting
,,1.0,56.0,,21.315,48.416000000000004,,,Carry,,,,,384888.0,31.185000000000002,40.120000000000005,,,,,,,,,,68.0,Daniel Bragança,True,Vizela,Sporting
2374331249.0,36.0,1.0,59.0,296.0,31.185000000000002,40.120000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['OppositeRelatedEvent', 'Defensive', 'Foul', 'Zone']","[91, 63]",True,384888.0,,,,,,,,,,,,68.0,Daniel Bragança,,Vizela,Sporting
2374331271.0,13.0,1.0,59.0,2899.0,73.815,27.880000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['OppositeRelatedEvent', 'Foul', 'Zone', 'Offensive']",[64],False,421845.0,,,,,,,,,,,,,,,Vizela,Sporting
2374342089.0,11009.0,1.0,,2899.0,74.34,61.744,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideGiven,Unsuccessful,[],[61],False,421843.0,,,,,,,,,,,,,,,Vizela,Sporting
2374331323.0,37.0,2.0,12.0,296.0,30.03,33.728,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'Length', 'PassEndY', 'FreekickTaken', 'PassEndX']","[91, 117, 30, 132, 36, 38, 216, 218]",True,71268.0,35.175000000000004,18.632,,,,,,,,,,4.0,Sebastián Coates,False,Vizela,Sporting
,,2.0,12.0,,35.175000000000004,18.632,,,Carry,,,,,395992.0,34.65,20.196,,,,,,,,,,25.0,Gonçalo Inácio,False,Vizela,Sporting
2374331343.0,38.0,2.0,14.0,296.0,34.65,20.196,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndX', 'PassEndY', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,395992.0,29.715000000000003,33.592,,,,,,,,,,25.0,Gonçalo Inácio,False,Vizela,Sporting
,,2.0,14.0,,29.715000000000003,33.592,,,Carry,,,,,71268.0,36.54,39.1,,,,,,,,,,4.0,Sebastián Coates,True,Vizela,Sporting
2374331351.0,39.0,2.0,20.0,296.0,36.54,39.1,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,['Zone'],"[91, 69]",True,71268.0,,,,,,,,,,,,4.0,Sebastián Coates,,Vizela,Sporting
