id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,firstName,lastName,name,homeTeam,awayTeam,round
2420316231,AttemptSaved,158085,1195556,Quaresma,86.9970571851241,33.54250116348266,85,,True,True,89.3,33.8475,36.21125,1.2199999940000001,0.033483684062957764,,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.41501322751322767, 'y': 0.32275132116402117, 'zoomRatio': 1}",,Quaresma,Arouca,Arouca,Belenenses SAD,34
2420317011,Miss,9807,172875,Abel Issa Camara,86.13823856975176,23.718981430843563,86,,False,False,,,28.202857142,0.3595789456,0.03621736168861389,,RightFoot,RegularPlay,SecondHalf,False,"{'x': 2, 'y': 0.062026925057364166, 'zoomRatio': 0.6520453424368587}",Abel Issa,Camara,Belenenses SAD,Arouca,Belenenses SAD,34
2420317675,Miss,158085,115512,David Simao,89.9000015258789,38.03214157653511,87,,False,False,,,41.31,0.9824210478000001,0.025442957878112793,,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 0, 'y': 0.13439412418604646, 'zoomRatio': 0.5170998632010942}",David,Simao,Arouca,Arouca,Belenenses SAD,34
2420317975,Miss,9807,1282128,Luis Mota,98.24561550703929,39.29285586153511,87,,False,False,,,37.12625,5.305931043199999,0.12607526779174805,,Header,RegularPlay,SecondHalf,False,"{'x': 0.6009656627629735, 'y': 0.6772486772486772, 'zoomRatio': 0.48247894274480957}",Luis,Mota,Belenenses SAD,Arouca,Belenenses SAD,34
2420320277,Miss,158085,1206580,Bruno Marques,94.38596638303929,25.41812455892563,90,1.0,False,False,,,29.379523808000002,0.3595789456,0.08485066890716553,,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 2, 'y': 0.07782291925290806, 'zoomRatio': 0.8180974953501073}",Bruno,Marques,Arouca,Arouca,Belenenses SAD,34
2420320775,Miss,158085,919919,Andre,91.69999694824219,31.86500058174133,90,1.0,False,False,,,27.362380952,0.802631575,0.11487656831741333,,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 2, 'y': 0.12092160896787874, 'zoomRatio': 0.5694813113956819}",,Andre,Arouca,Arouca,Belenenses SAD,34
2420321393,AttemptSaved,158085,115512,David Simao,86.03087907624823,25.8228125,90,3.0,True,True,91.7,28.539047618000005,35.29625000000001,1.2199999940000001,0.04160785675048828,,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 0.6570767195767175, 'y': 0.32275132116402117, 'zoomRatio': 1}",David,Simao,Arouca,Arouca,Belenenses SAD,34
2420322305,Miss,158085,1206580,Bruno Marques,100.732758621,28.034760621535114,90,4.0,False,False,,,28.539047618000005,0.7127368386,0.22024473547935486,,Header,SetPiece,SecondHalf,False,"{'x': 2, 'y': 0.13051511691427173, 'zoomRatio': 0.6921869548724447}",Bruno,Marques,Arouca,Arouca,Belenenses SAD,34
2420322715,AttemptSaved,158085,115512,David Simao,83.0480582528,29.71571300153511,90,4.0,True,True,104.051724138,30.72125,30.797499999999996,1.2199999940000001,0.057849884033203125,,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 1.8472222222222223, 'y': 0.32275132116402117, 'zoomRatio': 1}",David,Simao,Arouca,Arouca,Belenenses SAD,34
2420221603,AttemptSaved,8348,412778,Jefferson,82.4849514568,20.145732754271783,5,,True,True,87.21176470559999,22.808152870399997,34.305,1.2199999940000001,0.04694703221321106,,RightFoot,FreeKick,FirstHalf,False,"{'x': 0.9193121693121694, 'y': 0.32275132116402117, 'zoomRatio': 1}",,Jefferson,Moreirense,Moreirense,Vizela,34
2420221639,AttemptSaved,8348,412778,Jefferson,78.43058424406556,30.256,5,,True,True,87.53382352919999,31.4075,34.838750000000005,1.2199999940000001,0.023402273654937744,,LeftFoot,SetPiece,FirstHalf,False,"{'x': 0.7781084656084645, 'y': 0.32275132116402117, 'zoomRatio': 1}",,Jefferson,Moreirense,Moreirense,Vizela,34
2420227019,Goal,8348,711072,Sori Mane,98.8245614033,29.127382233464893,8,,False,True,,,35.525000000000006,0.8154736802,0.05763751268386841,0.1014,Header,RegularPlay,FirstHalf,False,"{'x': 0.5965608465608451, 'y': 0.2157337778306878, 'zoomRatio': 1}",Sori,Mane,Moreirense,Moreirense,Vizela,34
2420237405,AttemptSaved,8348,1088118,Derik Lacerda,94.38596638303929,49.6759235648,15,,True,True,97.8596491223,44.91159235240001,35.29625000000001,1.2199999940000001,0.03908243775367737,,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.6570767195767175, 'y': 0.32275132116402117, 'zoomRatio': 1}",Derik,Lacerda,Moreirense,Moreirense,Vizela,34
2420239857,Goal,8348,470808,Artur Jorge,98.8245614033,34.60999941825867,16,,False,True,,,34.4575,1.3805263090000002,0.5139709711074829,0.3502,Header,SetPiece,FirstHalf,False,"{'x': 0.8789682539682532, 'y': 0.3652186002645503, 'zoomRatio': 1}",Artur,Jorge,Moreirense,Moreirense,Vizela,34
2420249917,AttemptSaved,8348,670783,Pablo,96.0263143160607,33.46624941825866,24,,False,True,104.4310344828,33.8475,34.68625,1.2199999940000001,0.17588657140731812,0.0499,RightFoot,FromCorner,FirstHalf,False,"{'x': 0.8184523809523807, 'y': 0.32275132116402117, 'zoomRatio': 1}",,Pablo,Moreirense,Moreirense,Vizela,34
2420256703,Goal,8348,1088118,Derik Lacerda,97.7631593665393,37.744,30,,False,True,,,36.97375,0.9374736796,0.2369028925895691,0.7741,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.21329365079365015, 'y': 0.24800890994708993, 'zoomRatio': 1}",Derik,Lacerda,Moreirense,Moreirense,Vizela,34
2420269135,Miss,8348,362665,Paulinho,101.87068676149173,17.203057059128216,40,,False,False,,,34.99125,4.341379316,0.023624002933502197,,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.8453664832168395, 'y': 0.6772486772486772, 'zoomRatio': 0.5896743439499079}",,Paulinho,Moreirense,Moreirense,Vizela,34
2420274909,AttemptSaved,4531,1188608,Nuno Moreira,85.49411437024823,11.347487657869571,44,,False,True,103.103448276,32.24625,32.0175,0.20547368320000003,0.026471227407455444,0.0923,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.5244708994709, 'y': 0.05435811724867726, 'zoomRatio': 1}",Nuno,Moreira,Vizela,Moreirense,Vizela,34
2420279591,Miss,4531,1184776,Mohamed Aidara,94.28947662727859,42.003750441074374,45,3.0,False,False,,,43.5103184664,1.1622105206000002,0.020617753267288208,,Header,FromCorner,FirstHalf,False,"{'x': 0, 'y': 0.12220521580913356, 'zoomRatio': 0.39746303063927435}",Mohamed,Aidara,Vizela,Moreirense,Vizela,34
2420296365,AttemptSaved,4531,936528,Alex Mendez,76.17815706006556,29.96785842346489,50,,True,True,87.85588235280001,31.254999999999995,34.4575,1.2199999940000001,0.045591264963150024,,LeftFoot,FreeKick,SecondHalf,False,"{'x': 0.8789682539682532, 'y': 0.32275132116402117, 'zoomRatio': 1}",Alex,Mendez,Vizela,Moreirense,Vizela,34
2420300911,Miss,8348,211118,Rafael Martins,95.6403479313214,30.568749999999998,59,,False,False,,,28.370952380000002,0.44305262940000006,0.09908735752105713,,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 2, 'y': 0.0787082752375082, 'zoomRatio': 0.6715167920359508}",Rafael,Martins,Moreirense,Moreirense,Vizela,34
