id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam
2375684017.0,31.0,1.0,55.0,251.0,56.28,68.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'Longball', 'Angle', 'PassEndY', 'Length', 'ThrowIn']","[91, 212, 35, 38, 216]",True,130450.0,37.065,57.800000000000004,,,,,,,,,,6.0,Mansur,False,Moreirense,Santa Clara
2375684123.0,32.0,1.0,58.0,251.0,36.645,57.800000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'PassEndX', 'StandingSave', 'Zone', 'Length']","[91, 117, 30, 35, 38, 215, 218]",True,318502.0,33.075,37.264,,,,,,,,,,3.0,Mikel Villanueva,False,Moreirense,Santa Clara
,,1.0,58.0,,33.075,37.264,,,Carry,,,,,422199.0,28.35,20.196,,,,,,,,,,4.0,Kennedy Boateng,False,Moreirense,Santa Clara
2375693879.0,11008.0,1.0,,108.0,70.455,41.072,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideGiven,Unsuccessful,[],[61],False,135347.0,,,,,,,,,,,,,,,Moreirense,Santa Clara
2375684179.0,33.0,2.0,3.0,251.0,28.35,20.196,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'StandingSave', 'PassEndY', 'Angle', 'Length']","[91, 117, 30, 36, 37, 216, 218]",True,422199.0,40.425000000000004,26.044,,,,,,,,,,4.0,Kennedy Boateng,False,Moreirense,Santa Clara
2375684279.0,34.0,2.0,4.0,251.0,39.375,26.860000000000003,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'Zone', 'PassEndY', 'PassEndX', 'StandingSave']","[91, 117, 30, 35, 37, 215, 218]",True,101748.0,16.59,31.552,,,,,,,,,,8.0,Anderson Carvalho,False,Moreirense,Santa Clara
2375684357.0,35.0,2.0,8.0,251.0,16.8,31.892000000000003,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'StandingSave', 'PassEndX', 'Length', 'Zone']","[91, 117, 30, 36, 37, 215, 218]",True,361916.0,23.415000000000003,49.64,,,,,,,,,,99.0,Marco Pereira,False,Moreirense,Santa Clara
2375684553.0,36.0,2.0,11.0,251.0,23.415000000000003,49.64,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'Zone', 'Angle', 'Length', 'PassEndY']","[91, 117, 30, 36, 38, 215, 218]",True,318502.0,27.51,37.468,,,,,,,,,,3.0,Mikel Villanueva,False,Moreirense,Santa Clara
,,2.0,11.0,,27.51,37.468,,,Carry,,,,,101748.0,35.07,22.712,,,,,,,,,,8.0,Anderson Carvalho,False,Moreirense,Santa Clara
2375684611.0,37.0,2.0,17.0,251.0,35.07,22.712,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'PassEndX', 'Zone', 'Angle', 'Length']","[91, 117, 30, 36, 38, 216, 218]",True,101748.0,41.580000000000005,5.44,,,,,,,,,,8.0,Anderson Carvalho,False,Moreirense,Santa Clara
,,2.0,17.0,,41.580000000000005,5.44,,,Carry,,,,,274646.0,43.155,3.128,,,,,,,,,,17.0,Cristian Tassano,False,Moreirense,Santa Clara
2375684647.0,38.0,2.0,19.0,251.0,43.155,3.128,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'PassEndX', 'StandingSave', 'Angle', 'Length', 'PassEndY']","[91, 120, 29, 36, 37, 216, 218]",True,274646.0,62.05500000000001,13.260000000000002,,,,,,,,,,17.0,Cristian Tassano,True,Moreirense,Santa Clara
2375684661.0,11.0,2.0,19.0,108.0,42.839999999999996,58.412000000000006,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['StandingSave', 'Zone']","[91, 101, 56]",True,370018.0,,,,,,,,,,,,,,,Moreirense,Santa Clara
2375684699.0,12.0,2.0,21.0,108.0,43.995,62.220000000000006,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,325220.0,,,,,,,,,,,,,,,Moreirense,Santa Clara
2375684869.0,13.0,2.0,23.0,108.0,44.1,62.35600000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'PassEndY', 'Zone', 'StandingSave', 'Angle']","[91, 117, 30, 36, 37, 216, 218]",True,325220.0,44.31,65.62,,,,,,,,,,,,False,Moreirense,Santa Clara
2375684883.0,14.0,2.0,26.0,108.0,61.74,64.396,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'PassEndY', 'PassEndX', 'StandingSave', 'Zone', 'Angle']","[91, 120, 29, 36, 38, 216, 218]",True,370018.0,63.21000000000001,61.81200000000001,,,,,,,,,,,,False,Moreirense,Santa Clara
2375684889.0,39.0,2.0,26.0,251.0,44.625,3.808,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['Zone', 'StandingSave']",[91],True,101748.0,,,,,,,,,,,,8.0,Anderson Carvalho,,Moreirense,Santa Clara
2375684973.0,15.0,2.0,27.0,108.0,61.425000000000004,57.188,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndY', 'PassEndX', 'StandingSave', 'Zone']","[91, 119, 117, 30, 35, 37, 216, 218]",True,135347.0,56.49,59.160000000000004,,,,,,,,,,,,False,Moreirense,Santa Clara
2375684991.0,16.0,2.0,28.0,108.0,58.695,58.61600000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['OppositeRelatedEvent', 'Offensive', 'Zone']","[91, 70]",True,325220.0,,,,,,,,,,,,,,,Moreirense,Santa Clara
2375685023.0,40.0,2.0,28.0,251.0,46.30500000000001,9.384,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['OppositeRelatedEvent', 'StandingSave', 'Defensive', 'Zone']","[91, 143]",True,101748.0,,,,,,,,,,,,8.0,Anderson Carvalho,,Moreirense,Santa Clara
2375685513.0,18.0,2.0,44.0,108.0,62.895,68.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'PassEndY', 'Angle', 'Zone', 'ThrowIn']","[91, 212, 36, 38, 217]",True,392742.0,71.82000000000001,65.89200000000001,,,,,,,,,,,,False,Moreirense,Santa Clara
2375685581.0,19.0,2.0,45.0,108.0,66.78,65.89200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndY', 'Zone', 'PassEndX', 'Angle']","[91, 119, 117, 30, 35, 37, 216, 218]",True,370018.0,59.22,66.30000000000001,,,,,,,,,,,,False,Moreirense,Santa Clara
