shirtNo,team,minutes,prog_passes,prog_carries,defensive_actions,suc_take_ons,total_passes,suc_passes,take_ons,xt,final_third_entries,final_third_passes,penalty_box_entries,penalty_box_passes,key_passes,Goals,Assists,Shots,xG,xGOT,xA,ChancesCreated,name,playerId,fotmob_name,fotmob_player_id
5.0,Maritimo,281.0,14.0,6.0,32.0,2.0,147.0,120.0,2.0,0.1607015699999999,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zainadine Júnior,137058.0,Zainadine Junior,191972.0
5.0,Pacos-de-Ferreira,620.0,61.0,25.0,69.0,8.0,453.0,327.0,14.0,1.4607853999999998,8.0,34.0,1.0,8.0,2.0,0.0,2.0,6.0,0.3399999999999999,0.95,0.66,10.0,Antunes,23621.0, Antunes,45244.0
5.0,Porto,341.0,14.0,5.0,47.0,2.0,212.0,190.0,2.0,0.3859800299999998,1.0,10.0,0.0,1.0,1.0,2.0,0.0,0.0,0.73,1.03,0.08,1.0,Iván Marcano,28521.0,Ivan Marcano,80497.0
5.0,Santa-Clara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Joao Afonso,568911.0
5.0,Sporting,420.0,14.0,12.0,40.0,2.0,232.0,206.0,8.0,0.1585527099999997,2.0,24.0,0.0,1.0,1.0,0.0,0.0,1.0,0.12,0.0,0.12,0.0,Hidemasa Morita,409279.0,Hidemasa Morita,915102.0
5.0,Vitoria-de-Guimaraes,397.0,22.0,20.0,52.0,4.0,236.0,180.0,7.0,0.4029151999999998,4.0,21.0,2.0,5.0,0.0,0.0,0.0,1.0,0.03,0.0,0.11,1.0,Hélder Sá,412912.0,Helder Sa,1243934.0
5.0,Vizela,630.0,10.0,3.0,84.0,2.0,192.0,140.0,2.0,0.4089902199999997,0.0,6.0,0.0,1.0,0.0,1.0,0.0,1.0,0.52,0.25,0.23,1.0,Anderson,416912.0, Anderson,1130889.0
6.0,Arouca,477.0,36.0,19.0,50.0,3.0,225.0,168.0,11.0,0.6933658999999999,3.0,17.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0699999999999999,0.54,0.05,2.0,Mateus Quaresma,416502.0, Quaresma,1195556.0
6.0,Benfica,314.0,38.0,37.0,50.0,0.0,318.0,253.0,5.0,1.3635951999999998,15.0,30.0,2.0,10.0,3.0,0.0,3.0,1.0,0.01,0.2,0.6699999999999999,7.0,Alexander Bah,401520.0,Alexander Bah,734287.0
6.0,Boavista,10.0,1.0,0.0,4.0,0.0,9.0,8.0,0.0,0.0074413599999998,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.0,0.0,Ibrahima Camará,370018.0, Ibrahima,955790.0
6.0,Braga,623.0,76.0,19.0,83.0,2.0,458.0,341.0,5.0,1.92770618,6.0,27.0,0.0,16.0,3.0,1.0,1.0,0.0,0.12,0.21,0.96,13.0,Nuno Sequeira,140118.0,Nuno Sequeira,191793.0
6.0,Casa-Pia,8.0,2.0,3.0,2.0,0.0,8.0,6.0,1.0,0.0599675799999999,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,Derick Poloni,446997.0,Derick Poloni,866420.0
